동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
621,1952,자녀,학생_청소년_자녀,미식,맛집_카페_컵라면
558,679,학생,대학생_중딩_고딩,자연경관,공원_항구_잔디밭
426,656,회사동료,직원_임원_대리,휴식/힐링,신혼여행_호캉스_피크닉
252,442,배우자,와이프_신부_신랑,레포츠/운동,수영장_운동장_서핑
186,290,연인,예비신랑_여자친구_예랑,문화예술,박물관_예술원_영화관
173,94,기타가족,패밀리_가정_형님,역사유적,세계문화유산_유적지_한옥
59,47,부모님,부모님_모녀_아비,체험,vr체험_수학여행_한옥스테이
7,11,친구,친구_동창,반려동물,유기견_길냥이_길고양이
4,0,싱글,싱글,,
