연령대,남성방문 비율,여성방문 비율
70세 이상,3.0,1.6
60~69세,13.2,11.1
50~59세,17.1,12.2
40~49세,8.7,6.1
30~39세,7.7,4.6
20~29세,5.4,3.5
10~19세,4.2,1.3
