동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
22,54,기타가족,언니_엄마_식구,자연경관,바다_산책로_정원,박물관은 살아있다(제주중문점)
4,50,연인,커플,문화예술,박물관_전시관_미술관,박물관은 살아있다(제주중문점)
2,37,자녀,청소년,미식,고기국수_아메리카노_흑돼지,박물관은 살아있다(제주중문점)
0,14,,,레포츠/운동,테마파크_낚시,박물관은 살아있다(제주중문점)
0,8,,,역사유적,사찰_교회,박물관은 살아있다(제주중문점)
