순위,관광지명,주소,분류,현지인 검색 수
90,호텔얌이천설봉호수점,경기 이천시 경충대로2709번길 8-0,모텔,404
91,이천체험문화축제,경기 이천시 도자예술로62번길 130-0,기타문화관광지,403
92,해월산장,경기 이천시 지산로 238-23,펜션/민박,394
93,노성산,경기 이천시,자연경관(산),388
94,씨네호텔,경기 이천시 영창로 196-0,모텔,380
95,G모텔,경기 이천시 경충대로 1732-1,모텔,378
96,짬무인텔,경기 이천시 경충대로 153-0,모텔,372
97,이젠모텔,경기 이천시 경충대로 2929-0,모텔,371
98,아미호텔,경기 이천시 경충대로 2100-0,호텔,366
98,스티븐승마클럽,경기 이천시 이섭대천로527번길 151-0,육상레저스포츠,366
100,모텔카르페디엠,경기 이천시 애련정로87번길 52-16,모텔,365
