기준연월,지역명,검색량(건)
202108,강원도 화천군 ,352
202109,강원도 화천군 ,466
202110,강원도 화천군 ,513
202111,강원도 화천군 ,887
202112,강원도 화천군 ,60
202201,강원도 화천군 ,132
202202,강원도 화천군 ,9
202203,강원도 화천군 ,47
202204,강원도 화천군 ,52
202205,강원도 화천군 ,376
202206,강원도 화천군 ,526
202207,강원도 화천군 ,364
