유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경상남도 창원시 마산회원구 , 경상남도 함안군,24.4,1
경상남도 창원시 의창구 , 경상남도 함안군,10.8,1
경상남도 창원시 마산합포구 , 경상남도 함안군,10.3,1
경상남도 김해시 , 경상남도 함안군,7.0,1
경상남도 창원시 성산구 , 경상남도 함안군,6.9,1
경상남도 진주시 , 경상남도 함안군,6.5,1
경상남도 의령군 , 경상남도 함안군,5.7,1
경상남도 창녕군 , 경상남도 함안군,5.7,1
경상남도 창원시 진해구 , 경상남도 함안군,2.8,1
경상남도 사천시 , 경상남도 함안군,1.2,1
경상남도 양산시 , 경상남도 함안군,1.1,1
경상남도 고성군 , 경상남도 함안군,1.0,1
부산광역시 강서구 , 경상남도 함안군,1.0,1
부산광역시 부산진구 , 경상남도 함안군,0.9,1
대구광역시 달성군 , 경상남도 함안군,0.7,1
경상남도 산청군 , 경상남도 함안군,0.7,1
부산광역시 북구 , 경상남도 함안군,0.6,1
부산광역시 해운대구 , 경상남도 함안군,0.6,1
경상남도 합천군 , 경상남도 함안군,0.6,1
부산광역시 사상구 , 경상남도 함안군,0.6,1
 경상남도 함안군,경상남도 창원시 마산회원구,12.7,2
 경상남도 함안군,경상남도 창원시 의창구,9.5,2
 경상남도 함안군,경상남도 창원시 마산합포구,9.1,2
 경상남도 함안군,경상남도 진주시,8.0,2
 경상남도 함안군,경상남도 창녕군,6.8,2
 경상남도 함안군,경상남도 창원시 성산구,5.6,2
 경상남도 함안군,경상남도 김해시,5.5,2
 경상남도 함안군,경상남도 의령군,5.2,2
 경상남도 함안군,경상남도 사천시,3.2,2
 경상남도 함안군,전라남도 여수시,2.9,2
 경상남도 함안군,경상남도 창원시 진해구,2.2,2
 경상남도 함안군,부산광역시 기장군,1.9,2
 경상남도 함안군,부산광역시 해운대구,1.7,2
 경상남도 함안군,경상남도 남해군,1.7,2
 경상남도 함안군,부산광역시 강서구,1.3,2
 경상남도 함안군,경상남도 고성군,1.2,2
 경상남도 함안군,경상남도 합천군,1.1,2
 경상남도 함안군,경상남도 통영시,1.0,2
 경상남도 함안군,대구광역시 달성군,0.9,2
 경상남도 함안군,부산광역시 부산진구,0.9,2
