동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
0,6,,,자연경관,해수욕장_갯벌_숲,장항 스카이워크 (기벌포 해전 전망대)
0,2,,,미식,조개,장항 스카이워크 (기벌포 해전 전망대)
