연령대,남성방문 비율,여성방문 비율
70세 이상,2.2,2.6
60~69세,5.5,6.0
50~59세,7.7,7.7
40~49세,9.8,6.6
30~39세,12.4,11.5
20~29세,9.9,13.0
10~19세,2.2,2.2
