연령대,남성방문 비율,여성방문 비율
70세 이상,4.5,2.9
60~69세,15.4,9.2
50~59세,15.2,12.6
40~49세,9.0,7.5
30~39세,5.8,4.4
20~29세,5.5,2.9
10~19세,2.5,2.0
