연령대,남성방문 비율,여성방문 비율
70세 이상,2.7,3.2
60~69세,9.5,7.7
50~59세,11.0,9.0
40~49세,8.1,5.3
30~39세,7.4,4.3
20~29세,21.4,3.6
10~19세,4.2,2.4
