동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
238,5975,연인,애인_남친_남자친구,미식,맛집_바나나_술
213,2512,기타가족,오빠_가족_자매,자연경관,바다_시골_정원
180,766,부모님,할배_아빠_부모님,레포츠/운동,낚시_수영장_캠핑
172,436,회사동료,대리_직원_임원,문화예술,노래방_카지노_문화센터
72,318,자녀,아들_청소년_딸,역사유적,무덤_유적지_정자
28,112,학생,고딩_대학생_중딩,휴식/힐링,신혼여행_힐링_나들이
23,33,배우자,남편_와이프_신랑,반려동물,유기견_반려동물_애견
23,14,싱글,싱글남_싱글_혼자,체험,갯벌체험_농촌체험_목장체험
12,0,친구,친구_지인,,
