연령대,남성방문 비율,여성방문 비율
70세 이상,4.8,1.9
60~69세,12.2,8.1
50~59세,13.3,7.9
40~49세,13.1,6.9
30~39세,9.3,7.7
20~29세,5.1,6.0
10~19세,1.2,1.2
