연령대,남성방문 비율,여성방문 비율
70세 이상,3.3,2.7
60~69세,8.1,7.3
50~59세,10.1,9.9
40~49세,10.0,8.2
30~39세,10.5,8.9
20~29세,7.6,7.2
10~19세,2.3,2.3
