연령대,남성방문 비율,여성방문 비율
70세 이상,5.8,5.3
60~69세,9.0,7.8
50~59세,13.7,9.3
40~49세,11.2,8.2
30~39세,7.1,7.8
20~29세,4.7,4.9
10~19세,2.0,2.1
