연령대,남성방문 비율,여성방문 비율
70세 이상,3.6,3.1
60~69세,10.5,9.2
50~59세,13.0,14.6
40~49세,9.5,8.7
30~39세,7.9,8.1
20~29세,3.2,3.9
10~19세,1.5,1.4
