연령대,남성방문 비율,여성방문 비율
70세 이상,4.7,3.9
60~69세,15.4,9.6
50~59세,17.1,8.8
40~49세,10.3,5.5
30~39세,5.9,4.2
20~29세,6.1,3.2
10~19세,2.0,2.5
