연령대,남성방문 비율,여성방문 비율
70세 이상,4.9,2.8
60~69세,13.0,14.4
50~59세,24.2,12.1
40~49세,6.9,5.9
30~39세,5.4,3.0
20~29세,2.1,3.5
10~19세,1.1,0.5
