동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
1,51,회사동료,직원,레포츠/운동,등산_산행_트레킹,사라오름
1,46,싱글,혼자,자연경관,바다_산_전망대,사라오름
1,28,부모님,아빠,미식,컵라면_차_라면,사라오름
0,7,,,역사유적,다리,사라오름
0,2,,,휴식/힐링,힐링,사라오름
