연령대,남성방문 비율,여성방문 비율
70세 이상,3.2,4.3
60~69세,8.1,4.5
50~59세,12.4,6.8
40~49세,13.4,8.6
30~39세,10.1,7.8
20~29세,9.9,6.0
10~19세,1.5,2.2
