연령대,남성방문 비율,여성방문 비율
70세 이상,2.5,2.4
60~69세,6.9,6.7
50~59세,8.3,9.2
40~49세,8.9,7.7
30~39세,10.8,11.1
20~29세,9.8,9.4
10~19세,2.5,2.1
