순위,관광지명,주소,분류,
1,이마트/구로점,서울 구로구 디지털로32길 43-0,쇼핑,서울특별시 구로구
2,신도림테크노마트,서울 구로구 새말로 97-0,쇼핑,서울특별시 구로구
3,현대백화점/디큐브시티점,서울 구로구 경인로 662-0,쇼핑,서울특별시 구로구
4,NC백화점/신구로점,서울 구로구 구로중앙로 152-0,쇼핑,서울특별시 구로구
5,이마트/신도림점,서울 구로구 새말로 97-0,쇼핑,서울특별시 구로구
6,홈플러스/신도림점,서울 구로구 경인로 661-0,쇼핑,서울특별시 구로구
7,제니스스포츠클럽,서울 구로구 안양천로539길 11-0,레포츠(육상/해상/항공),서울특별시 구로구
8,구로중앙유통단지,서울 구로구 경인로53길 15-0,쇼핑,서울특별시 구로구
9,구로기계공구상가단지/A_C블럭,서울 구로구 구로중앙로 197-0,쇼핑,서울특별시 구로구
10,2001아울렛/구로점,서울 구로구 중앙로1길 36-0,쇼핑,서울특별시 구로구
11,고척근린공원,서울 구로구,자연관광지,서울특별시 구로구
12,고척공구상가,서울 구로구 중앙로3길 50-0,쇼핑,서울특별시 구로구
13,가리봉시장,서울 구로구,쇼핑,서울특별시 구로구
14,구로시장,서울 구로구 구로동로22길 17-4,쇼핑,서울특별시 구로구
15,CGV/구로,서울 구로구 구로중앙로 152-0,공연/행사,서울특별시 구로구
16,구로기계공구상가단지/B_D블럭,서울 구로구 구로중앙로 198-0,쇼핑,서울특별시 구로구
17,고척스카이돔,서울 구로구 경인로 430-0,기타관광지,서울특별시 구로구
18,롯데하이마트/구로점,서울 구로구 가마산로 277-0,쇼핑,서울특별시 구로구
19,세계로식자재마트/구로점,서울 구로구 구로중앙로 134-0,쇼핑,서울특별시 구로구
20,밀리언골프클럽,서울 구로구 안양천로537길 56-0,레포츠(육상/해상/항공),서울특별시 구로구
21,서울특별시교육청구로도서관,서울 구로구 공원로 15-0,문화시설,서울특별시 구로구
22,동도센트리움골프클럽,서울 구로구 경인로6길 19-0,레포츠(육상/해상/항공),서울특별시 구로구
23,지밸리몰,서울 구로구 디지털로 300-0,쇼핑,서울특별시 구로구
24,푸른수목원,서울 구로구 연동로 240-0,자연관광지,서울특별시 구로구
25,롯데하이마트/개봉점,서울 구로구 경인로 334-0,쇼핑,서울특별시 구로구
26,귀뚜라미크린테니스코트,서울 구로구 경인로46길 51-0,레포츠(육상/해상/항공),서울특별시 구로구
27,구로리공원,서울 구로구 구로중앙로 13-0,자연관광지,서울특별시 구로구
28,구로공구상가일번지,서울 구로구 경인로54길 4-0,쇼핑,서울특별시 구로구
29,남구로시장,서울 구로구 구로동로26길 25-0,쇼핑,서울특별시 구로구
30,삼성디지털프라자/구로점,서울 구로구 가마산로 267-0,쇼핑,서울특별시 구로구
31,리치몰,서울 구로구 구로중앙로 134-0,쇼핑,서울특별시 구로구
32,서울특별시교육청고척도서관,서울 구로구 고척로45길 31-0,문화시설,서울특별시 구로구
33,개봉중앙시장,서울 구로구 개봉로17길 34-0,쇼핑,서울특별시 구로구
34,GDR아카데미/구로신도림점,서울 구로구 새말로 102-0,레포츠(육상/해상/항공),서울특별시 구로구
35,고척프라자,서울 구로구 중앙로 64-0,쇼핑,서울특별시 구로구
36,거리공원,서울 구로구,자연관광지,서울특별시 구로구
37,롯데시네마/신도림,서울 구로구 경인로 662-0,공연/행사,서울특별시 구로구
38,이마트에브리데이/개봉동점,서울 구로구 개봉로17길 34-0,쇼핑,서울특별시 구로구
39,123전자타운,서울 구로구 경인로 393-7,쇼핑,서울특별시 구로구
40,계남테니스장,서울 구로구 중앙로17길 10-0,레포츠(육상/해상/항공),서울특별시 구로구
41,오류문화센터,서울 구로구 경인로20가길 38-0,문화시설,서울특별시 구로구
42,삼성전자서비스/신도림테크노센터,서울 구로구 새말로 97-0,쇼핑,서울특별시 구로구
43,디큐브아트센터,서울 구로구 경인로 662-0,공연/행사,서울특별시 구로구
44,퓨처젠,서울 구로구 디지털로31길 38-21,쇼핑,서울특별시 구로구
45,홈마트/천왕점,서울 구로구 오리로 1073-7,쇼핑,서울특별시 구로구
46,고척근린시장,서울 구로구 경인로33길 103-0,쇼핑,서울특별시 구로구
47,신도림생활체육관,서울 구로구 경인로67길 149-0,기타관광지,서울특별시 구로구
48,씨네큐/신도림점,서울 구로구 새말로 97-0,공연/행사,서울특별시 구로구
49,풍성마트,서울 구로구 오리로 1172-0,쇼핑,서울특별시 구로구
50,구로구민체육센터,서울 구로구 고척로45길 39-0,레포츠(육상/해상/항공),서울특별시 구로구
51,수협바다마트/온수역점,서울 구로구 경인로3길 58-0,쇼핑,서울특별시 구로구
52,경기마트/개봉점,서울 구로구 개봉로 8-14,쇼핑,서울특별시 구로구
53,구로식자재할인마트,서울 구로구 경서로 5-0,쇼핑,서울특별시 구로구
54,다이소/구로디지털2호점,서울 구로구 시흥대로 557-0,쇼핑,서울특별시 구로구
55,라이프공구종합상가,서울 구로구 구로중앙로 237-0,쇼핑,서울특별시 구로구
56,다이소/구로구청점,서울 구로구 가마산로 263-0,쇼핑,서울특별시 구로구
57,고척스카이돔,서울 구로구 경인로 430-0,문화관광,서울특별시 구로구
58,구로중앙유통단지/가동,서울 구로구 경인로53길 15-0,쇼핑,서울특별시 구로구
59,골프존파크/천왕갤러리점,서울 구로구 천왕로1길 50-0,레포츠(육상/해상/항공),서울특별시 구로구
60,보미프라자,서울 구로구 경인로65길 44-0,쇼핑,서울특별시 구로구
61,구로아트밸리예술극장,서울 구로구 가마산로25길 9-24,공연/행사,서울특별시 구로구
