연령대,남성방문 비율,여성방문 비율
70세 이상,1.4,3.1
60~69세,3.8,3.3
50~59세,4.2,5.6
40~49세,7.4,4.8
30~39세,13.9,12.9
20~29세,16.3,20.5
10~19세,1.3,1.6
