기준연월,지역명,검색량(건)
202108,강원도 홍천군 ,2870
202109,강원도 홍천군 ,2632
202110,강원도 홍천군 ,2322
202111,강원도 홍천군 ,2252
202112,강원도 홍천군 ,520
202201,강원도 홍천군 ,460
202202,강원도 홍천군 ,182
202203,강원도 홍천군 ,118
202204,강원도 홍천군 ,219
202205,강원도 홍천군 ,558
202206,강원도 홍천군 ,1060
202207,강원도 홍천군 ,584
