업종대분류명,업종중분류명,중분류 소비액
쇼핑업,면세점,1.5628381911E10
쇼핑업,관광기념품,6.156749517E9
쇼핑업,레저용품쇼핑,1.0422298267E10
쇼핑업,대형쇼핑몰,2.01796557E10
숙박업,호텔,4.5658717758E10
숙박업,콘도,4.428394966E10
숙박업,캠핑장/펜션,2.95126461E8
숙박업,기타숙박,2.2949481246E10
식음료업,식음료,1.89009401413E11
여가서비스업,관광유원시설,4.941370104E9
여가서비스업,골프장,3.3961701003E10
여가서비스업,기타레저,2.157695771E9
여가서비스업,문화서비스,7.848983991E9
여행업,여행업,2.2268507E8
운송업,수상운송,6.23191686E8
운송업,항공운송,5.38928609E8
