순위,관광지명,주소,분류,
79,예당관광지,충남 예산군 예당관광로 161-0,기타관광지,충청남도 예산군
80,하나로마트/신양농협,충남 예산군,쇼핑,충청남도 예산군
81,신한물산,충남 예산군 산단2길 148-0,쇼핑,충청남도 예산군
82,옥계저수지,충남 예산군,자연관광지,충청남도 예산군
83,송석지낚시터,충남 예산군 대술동로 387-10,레포츠(육상/해상/항공),충청남도 예산군
84,덕숭산,충남 예산군,자연관광지,충청남도 예산군
85,예당호조각공원,충남 예산군,문화관광,충청남도 예산군
86,한국고건축박물관,충남 예산군 홍덕서로 543-0,문화시설,충청남도 예산군
87,신례원벚꽃길,충남 예산군,기타관광지,충청남도 예산군
88,무지개마트,충남 예산군 신평5길 5-0,쇼핑,충청남도 예산군
89,새물낚시좌대,충남 예산군 예당긍모로 129-15,레저스포츠,충청남도 예산군
90,한국건재철물,충남 예산군 신촌길 36-18,쇼핑,충청남도 예산군
91,예산성당,충남 예산군 예산로161번길 10-0,역사관광지,충청남도 예산군
92,CU/예산예당점,충남 예산군 예당로 876-0,쇼핑,충청남도 예산군
93,예당전국낚시축제,충남 예산군 예당남로 41-60,기타관광지,충청남도 예산군
94,무지개좌대,충남 예산군,레포츠(육상/해상/항공),충청남도 예산군
95,교촌낚시터,충남 예산군 예당로 1045-0,레포츠(육상/해상/항공),충청남도 예산군
96,고덕시장,충남 예산군 용고길 344-0,쇼핑,충청남도 예산군
97,포인트좌대,충남 예산군,레저스포츠,충청남도 예산군
98,윤봉길의사생가,충남 예산군 덕산온천로 182-10,역사관광지,충청남도 예산군
99,예당국민관광지,충남 예산군 예당관광로 161-0,기타관광지,충청남도 예산군
100,인천좌대낚시,충남 예산군 신속대야로 173-0,레포츠(육상/해상/항공),충청남도 예산군
