순위,관광지명,주소,분류,합산 검색 수
1,대전역동광장,대전 동구 새둑길 143-0,기타관광,36845
2,대전중앙시장,대전 동구 대전로785번길 26-0,시장,32601
3,해돋이전망대,대전 동구,랜드마크관광,27890
4,만인산자연휴양림,대전 동구 산내로 106-0,자연공원,22514
5,상소동산림욕장,대전 동구 산내로 748-0,자연공원,15563
6,호텔선샤인,대전 동구 동서대로 1700-0,호텔,13880
7,식장산,대전 동구,자연경관(산),13039
8,옛터민속박물관,대전 동구 산내로 321-35,전시시설,12287
9,용운국제수영장,대전 동구 동부로 138-0,테마공원,12002
10,대청호오백리길4구간,대전 동구,기타레저스포츠,10044
11,대동하늘공원,대전 동구,도시공원,8175
12,벨레자호텔,대전 동구 동서대로1683번길 46-8,호텔,6812
13,대청호자연수변공원,대전 동구 대청호수로545번길 0-0,도시공원,6308
14,상소오토캠핑장,대전 동구 산내로 748-0,캠핑,6195
15,CGV대전터미널,대전 동구 동서대로1695번길 30-0,공연시설,5623
16,우암사적공원,대전 동구 충정로 53-0,도시공원,5447
17,세천유원지,대전 동구 세천공원로 68-0,복합관광시설,5301
18,오동선대청호벚꽃길,대전 동구,기타관광,4807
19,대청호벚꽃축제,대전 동구,기타문화관광지,4193
20,대전전통나래관,대전 동구 철갑2길 2-0,기타문화관광지,4078
21,노크인호텔대전터미널점,대전 동구 한밭대로1316번길 35-0,모텔,3331
22,N7호텔,대전 동구 동서대로1695번길 66-17,호텔,3244
23,마산동쉼터,대전 동구,기타관광,2847
24,CGV대전가오,대전 동구 은어송로 72-0,공연시설,2731
25,호텔박스,대전 동구 한밭대로1316번길 34-0,모텔,2410
26,반누리반품닷컴대전점,대전 동구 물류로 4-0,기타쇼핑시설,2277
27,더휴식아늑호텔대전점,대전 동구 한밭대로1316번길 7-0,모텔,2182
28,호텔룩,대전 동구 한밭대로 1316-16,모텔,2156
29,캠프향기,대전 동구 산내로 710-0,캠핑,2090
30,명상정원,대전 동구,도시공원,2088
31,호국철도광장,대전 동구,도시공원,1986
32,우송예술회관,대전 동구 동대전로 171-0,공연시설,1960
33,대전역서광장,대전 동구,기타관광,1763
34,현암상가시장,대전 동구,시장,1733
35,잉카모텔,대전 동구 대전천동로 570-0,모텔,1729
36,대청호자연생태관,대전 동구 천개동로 41-0,전시시설,1705
37,대전대학교30주년기념관,대전 동구 대학로 62-0,전시시설,1664
38,XYM모텔,대전 동구 한밭대로1314번길 5-0,모텔,1553
39,슬픈연가촬영지,대전 동구,기타문화관광지,1505
40,호텔야자대전터미널점,대전 동구 한밭대로1316번길 16-0,모텔,1458
41,테크존대전동구점,대전 동구 산서로 1613-0,기타레저스포츠,1405
42,호텔나리스,대전 동구 동서대로1725번길 64-0,모텔,1403
43,세도나모텔,대전 동구 동서대로1725번길 40-0,모텔,1399
44,넘버25호텔대전역점,대전 동구 대전천동로 482-1,모텔,1393
45,용운시장,대전 동구 새울로91번길 14-22,시장,1315
46,보보스모텔,대전 동구 동서대로1725번길 10-0,모텔,1296
47,한밭교육박물관,대전 동구 우암로 96-0,전시시설,1186
48,신도꼼지락시장,대전 동구 흥룡로37번길 17-0,시장,1163
49,사보이호텔,대전 동구 한밭대로 1288-0,모텔,1072
