동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
813,8151,연인,애인_남자친구_커플,미식,맛집_카페_수박
543,3652,친구,친구_지인,자연경관,바다_밭_계곡
352,3015,기타가족,패밀리_삼촌_언니,레포츠/운동,수영장_캠핑_낚시
219,533,부모님,부모_부모님_아버지,문화예술,노래방_카지노_클럽
130,106,학생,중딩_고딩_대학생,반려동물,애견_반려견_펫
109,85,자녀,아들_딸_학생,역사유적,교회_다리_서당
108,55,회사동료,대리_동료_사원,휴식/힐링,테라피_가을여행_나들이
33,21,배우자,신랑_신부_와이프,체험,선상낚시체험_다도체험_수학여행
9,0,싱글,독신_싱글,,
