동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
52,1537,기타가족,패밀리_오빠_엄마,미식,커피_물회_떡볶이,부산자갈치시장
28,649,친구,지인_친구,자연경관,바다_해안_산책로,부산자갈치시장
15,21,부모님,아빠_부모님_아버지,문화예술,광장_책방_아쿠아리움,부산자갈치시장
8,21,연인,여자친구_남친_커플,역사유적,기와집_성당_다리,부산자갈치시장
7,5,자녀,아들_딸_자식,레포츠/운동,캠핑_수영장,부산자갈치시장
6,1,배우자,남편_신랑,반려동물,동물,부산자갈치시장
2,1,싱글,혼자,휴식/힐링,힐링,부산자갈치시장
1,0,회사동료,직원,,,부산자갈치시장
