연령대,남성방문 비율,여성방문 비율
70세 이상,2.0,1.6
60~69세,7.6,5.0
50~59세,13.2,9.3
40~49세,12.3,7.7
30~39세,11.3,6.3
20~29세,9.7,7.8
10~19세,2.7,2.5
