유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 화성시 , 경기도 용인시 기흥구,17.9,1
경기도 용인시 수지구 , 경기도 용인시 기흥구,13.7,1
경기도 수원시 영통구 , 경기도 용인시 기흥구,13.2,1
경기도 용인시 처인구 , 경기도 용인시 기흥구,12.2,1
경기도 성남시 분당구 , 경기도 용인시 기흥구,8.1,1
경기도 수원시 권선구 , 경기도 용인시 기흥구,2.7,1
경기도 수원시 팔달구 , 경기도 용인시 기흥구,2.1,1
경기도 오산시 , 경기도 용인시 기흥구,2.1,1
서울특별시 강남구 , 경기도 용인시 기흥구,2.1,1
경기도 광주시 , 경기도 용인시 기흥구,1.8,1
경기도 평택시 , 경기도 용인시 기흥구,1.7,1
서울특별시 서초구 , 경기도 용인시 기흥구,1.7,1
경기도 수원시 장안구 , 경기도 용인시 기흥구,1.6,1
서울특별시 송파구 , 경기도 용인시 기흥구,1.3,1
경기도 안성시 , 경기도 용인시 기흥구,1.2,1
경기도 이천시 , 경기도 용인시 기흥구,1.1,1
경기도 성남시 수정구 , 경기도 용인시 기흥구,1.0,1
경기도 의왕시 , 경기도 용인시 기흥구,0.7,1
경기도 성남시 중원구 , 경기도 용인시 기흥구,0.6,1
경기도 안양시 동안구 , 경기도 용인시 기흥구,0.6,1
 경기도 용인시 기흥구,경기도 수원시 영통구,15.2,2
 경기도 용인시 기흥구,경기도 화성시,13.5,2
 경기도 용인시 기흥구,경기도 용인시 처인구,12.7,2
 경기도 용인시 기흥구,경기도 용인시 수지구,12.0,2
 경기도 용인시 기흥구,경기도 성남시 분당구,9.1,2
 경기도 용인시 기흥구,경기도 수원시 팔달구,4.0,2
 경기도 용인시 기흥구,서울특별시 강남구,2.5,2
 경기도 용인시 기흥구,경기도 수원시 권선구,1.7,2
 경기도 용인시 기흥구,경기도 광주시,1.7,2
 경기도 용인시 기흥구,경기도 안성시,1.7,2
 경기도 용인시 기흥구,경기도 오산시,1.6,2
 경기도 용인시 기흥구,경기도 이천시,1.5,2
 경기도 용인시 기흥구,서울특별시 서초구,1.4,2
 경기도 용인시 기흥구,서울특별시 송파구,1.3,2
 경기도 용인시 기흥구,경기도 평택시,1.2,2
 경기도 용인시 기흥구,경기도 수원시 장안구,1.1,2
 경기도 용인시 기흥구,경기도 여주시,1.0,2
 경기도 용인시 기흥구,경기도 의왕시,1.0,2
 경기도 용인시 기흥구,경기도 성남시 수정구,0.9,2
 경기도 용인시 기흥구,경기도 하남시,0.6,2
