동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
4,322,기타가족,가족_막내_언니,미식,카페_컵라면_소금,노도(김만중 유허지)
2,25,자녀,아들,자연경관,바다_정원_해안,노도(김만중 유허지)
0,3,,,역사유적,암자_다리,노도(김만중 유허지)
