동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
428,1225,기타가족,조카_누나_가족,미식,맛집_음료_막걸리
81,580,연인,애인_커플_예비신부,자연경관,시골_수목원_자연휴양림
70,442,자녀,딸_아들_학생,휴식/힐링,힐링_가을여행_나들이
53,288,회사동료,대리_직원,레포츠/운동,래프팅_농구장_놀이터
29,255,부모님,할머니_할아버지_부모님,문화예술,노래방_박물관_전시관
22,65,배우자,신부_아내_남편,역사유적,정자_다리_종택
18,3,학생,고딩_대학생_고등학생,반려동물,애견
17,3,친구,친구_지인,체험,수학여행
6,0,싱글,싱글,,
