업종대분류명,업종중분류명,중분류 소비액
쇼핑업,관광기념품,5.41766028E8
쇼핑업,레저용품쇼핑,3.488185365E9
쇼핑업,대형쇼핑몰,3.5340659089E10
숙박업,호텔,1.2025E7
숙박업,기타숙박,1.736739668E9
식음료업,식음료,9.9796500317E10
여가서비스업,관광유원시설,1.12705225E8
여가서비스업,골프장,3.085879287E9
여가서비스업,기타레저,1.761541787E9
여가서비스업,문화서비스,1.088409857E9
여행업,여행업,1245010.0
운송업,렌터카,781000.0
운송업,육상운송,0.0
