동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
16,147,기타가족,언니_엄마_가족,미식,카페_차_연잎,양양지(위양못)
4,67,배우자,와이프_신랑,자연경관,저수지_계곡_연못,양양지(위양못)
4,36,연인,커플,역사유적,정자_다리_사찰,양양지(위양못)
2,4,친구,친구,휴식/힐링,피크닉_힐링_물멍,양양지(위양못)
2,2,자녀,딸,레포츠/운동,캠핑,양양지(위양못)
1,1,부모님,아빠,문화예술,노래방,양양지(위양못)
