연령대,남성방문 비율,여성방문 비율
70세 이상,2.7,1.5
60~69세,13.4,6.7
50~59세,23.7,13.4
40~49세,10.8,6.7
30~39세,7.0,3.9
20~29세,4.9,3.6
10~19세,1.0,0.4
