순위,관광지명,주소,분류,합산 검색 수
1,죽도시장,경북 포항시 북구 죽도시장13길 13-1,시장,230911
2,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양),180909
3,환호공원스페이스워크,경북 포항시 북구,기타레저스포츠,92549
4,환호공원,경북 포항시 북구,도시공원,62845
5,이가리닻전망대,경북 포항시 북구,랜드마크관광,57509
6,칠포해수욕장,경북 포항시 북구,자연경관(하천/해양),42028
7,월포해수욕장,경북 포항시 북구,자연경관(하천/해양),41938
8,청하시장,경북 포항시 북구 청하로200번길 6-0,시장,37498
9,라한호텔포항,경북 포항시 북구 삼호로265번길 1-0,호텔,32647
10,죽도어시장,경북 포항시 북구 죽도시장13길 13-0,시장,32465
11,보경사,경북 포항시 북구 보경로 523-0,종교성지,31121
12,영일만항,경북 포항시 북구 영일만항로 112-0,자연경관(하천/해양),24671
13,화진해수욕장,경북 포항시 북구,자연경관(하천/해양),23436
14,사방기념관,경북 포항시 북구,전시시설,21139
15,오도1리해수욕장,경북 포항시 북구,자연경관(하천/해양),20662
16,오션힐스포항CC,경북 포항시 북구 대전길 7-0,육상레저스포츠,19761
17,해상스카이워크,경북 포항시 북구 해안로 523-0,기타관광,17848
18,포항여객선터미널,경북 포항시 북구 해안로 44-0,교통시설,17590
19,곤륜산,경북 포항시 북구,자연경관(산),15383
20,포항CC,경북 포항시 북구 동해대로2751번길 126-0,육상레저스포츠,15020
21,CGV북포항,경북 포항시 북구 서동로 93-0,공연시설,11924
22,필로스호텔,경북 포항시 북구 죽파로 6-0,호텔,11677
23,사방기념공원,경북 포항시 북구 해안로 0-0,도시공원,11653
24,롯데시네마포항,경북 포항시 북구 중앙상가길 16-0,공연시설,11622
25,포항농산물도매시장,경북 포항시 북구 동해대로 1182-0,시장,11318
26,포항영일신항만,경북 포항시 북구 영일만항로 151-0,자연경관(하천/해양),10736
27,신항만방파제,경북 포항시 북구,자연경관(하천/해양),10318
28,경상북도수목원,경북 포항시 북구 수목원로 647-0,자연공원,9017
29,영일대전망대,경북 포항시 북구,랜드마크관광,8647
30,포항온천,경북 포항시 북구 법원로97번길 44-0,웰니스관광,7755
31,이스턴CC,경북 포항시 북구 용산길 94-0,육상레저스포츠,7011
32,이가리간이해수욕장,경북 포항시 북구,자연경관(하천/해양),6912
33,곤륜산패러글라이딩활공장,경북 포항시 북구,항공레저스포츠,6908
34,칠포항스카이워크,경북 포항시 북구,기타관광,6828
35,흥해시장,경북 포항시 북구 흥해로 68-4,시장,6666
36,청진항,경북 포항시 북구,자연경관(하천/해양),6631
37,이데아호텔,경북 포항시 북구 칠성천길 98-5,모텔,5540
38,하옥계곡,경북 포항시 북구,자연경관(산),5141
39,브라운도트호텔포항죽도점,경북 포항시 북구 죽도로40번길 51-0,호텔,5015
40,봉좌마을캠핑장,경북 포항시 북구 봉계길 46-0,캠핑,4715
41,호텔뷰,경북 포항시 북구 해안로 91-0,호텔,4628
42,브라운도트호텔영일대점,경북 포항시 북구 해안로 113-0,호텔,4313
43,갤럭시호텔,경북 포항시 북구 해안로 93-0,호텔,4109
44,비학산자연휴양림,경북 포항시 북구 비학산길 302-0,자연공원,4008
