연령대,남성방문 비율,여성방문 비율
70세 이상,4.0,3.9
60~69세,7.4,7.1
50~59세,10.4,10.1
40~49세,8.9,8.1
30~39세,5.6,5.2
20~29세,7.9,5.6
10~19세,6.9,7.7
