유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 평택시 , 경기도 안성시,31.4,1
경기도 화성시 , 경기도 안성시,7.5,1
경기도 용인시 처인구 , 경기도 안성시,7.4,1
충청남도 천안시 서북구 , 경기도 안성시,5.5,1
경기도 용인시 기흥구 , 경기도 안성시,3.9,1
경기도 오산시 , 경기도 안성시,3.0,1
경기도 이천시 , 경기도 안성시,3.0,1
충청북도 음성군 , 경기도 안성시,2.7,1
충청남도 아산시 , 경기도 안성시,2.2,1
충청남도 천안시 동남구 , 경기도 안성시,2.1,1
충청북도 진천군 , 경기도 안성시,1.9,1
경기도 성남시 분당구 , 경기도 안성시,1.9,1
경기도 수원시 영통구 , 경기도 안성시,1.8,1
경기도 용인시 수지구 , 경기도 안성시,1.4,1
서울특별시 강남구 , 경기도 안성시,1.3,1
서울특별시 서초구 , 경기도 안성시,1.3,1
경기도 수원시 권선구 , 경기도 안성시,1.1,1
서울특별시 송파구 , 경기도 안성시,1.0,1
경기도 광주시 , 경기도 안성시,0.9,1
충청남도 당진시 , 경기도 안성시,0.7,1
 경기도 안성시,경기도 평택시,31.4,2
 경기도 안성시,경기도 용인시 처인구,7.5,2
 경기도 안성시,경기도 화성시,4.9,2
 경기도 안성시,충청남도 천안시 서북구,4.8,2
 경기도 안성시,경기도 용인시 기흥구,4.1,2
 경기도 안성시,경기도 이천시,4.0,2
 경기도 안성시,충청북도 진천군,3.0,2
 경기도 안성시,충청남도 천안시 동남구,2.3,2
 경기도 안성시,경기도 오산시,2.3,2
 경기도 안성시,경기도 성남시 분당구,2.3,2
 경기도 안성시,충청북도 음성군,2.2,2
 경기도 안성시,경기도 수원시 영통구,1.8,2
 경기도 안성시,충청남도 아산시,1.5,2
 경기도 안성시,서울특별시 강남구,1.2,2
 경기도 안성시,경기도 여주시,1.2,2
 경기도 안성시,경기도 수원시 팔달구,1.0,2
 경기도 안성시,충청북도 충주시,1.0,2
 경기도 안성시,경기도 용인시 수지구,1.0,2
 경기도 안성시,경기도 광주시,0.9,2
 경기도 안성시,충청북도 청주시 청원구,0.8,2
