순위,관광지명,주소,분류,합산 검색 수
1,경복궁,서울 종로구 사직로 161-0,역사유적지,152789
2,동대문종합시장,서울 종로구 종로 266-0,시장,146112
3,북악스카이웨이,서울 종로구,데이트코스,123385
4,국립현대미술관서울관,서울 종로구 삼청로 30-0,전시시설,112831
5,광장시장,서울 종로구 창경궁로 88-0,시장,101018
6,포시즌스호텔서울,서울 종로구 새문안로 97-0,호텔,93667
7,팔각정북악스카이,서울 종로구 북악산로 267-0,랜드마크관광,93477
8,북악팔각정,서울 종로구 북악산로 267-0,역사유적지,69892
9,JW메리어트동대문스퀘어서울,서울 종로구 청계천로 279-0,호텔,62040
10,낙산공원,서울 종로구 낙산길 41-0,도시공원,50658
11,조계사,서울 종로구 우정국로 55-0,종교성지,48540
12,광화문,서울 종로구 사직로 161-0,역사유적지,45999
13,창경궁,서울 종로구 창경궁로 185-0,역사유적지,35281
14,서머셋팰리스,서울 종로구 율곡로2길 7-0,호텔,33623
15,신라스테이광화문,서울 종로구 삼봉로 71-0,호텔,31387
16,서울역사박물관,서울 종로구 새문안로 55-0,전시시설,29029
17,오라카이인사동스위츠,서울 종로구 인사동4길 18-0,호텔,28274
18,청와대사랑채,서울 종로구 효자로13길 45-0,전시시설,21654
19,CGV피카디리1958,서울 종로구 돈화문로5가길 1-0,공연시설,20305
20,청와대,서울 종로구 청와대로 1-0,기타관광,20239
21,나인트리프리미어호텔인사동,서울 종로구 인사동길 49-0,호텔,18963
22,오라카이대학로호텔,서울 종로구 율곡로 180-0,호텔,18732
23,대학로,서울 종로구,테마공원,17662
24,북촌한옥마을,서울 종로구,역사유적지,17516
25,동화면세점본점,서울 종로구 세종대로 149-0,면세점,16750
26,창덕궁,서울 종로구 율곡로 99-0,역사유적지,15517
27,총회창립100주년기념관,서울 종로구 대학로3길 29-0,전시시설,14385
28,두산아트센터,서울 종로구 종로33길 15-0,공연시설,14164
29,안녕인사동,서울 종로구 인사동길 49-0,쇼핑몰,14076
30,가나아트센터,서울 종로구 평창30길 28-0,전시시설,13554
31,그라운드시소서촌,서울 종로구 자하문로6길 18-8,기타문화관광지,12619
32,국립어린이과학관,서울 종로구 창경궁로 215-0,전시시설,12554
33,서울미술관,서울 종로구 자하문로 231-0,전시시설,11524
34,국립민속박물관,서울 종로구 삼청로 37-0,전시시설,11401
35,통인시장,서울 종로구 자하문로15길 18-0,시장,11338
36,국립고궁박물관,서울 종로구 효자로 12-0,전시시설,10817
37,청계천,서울 종로구,테마공원,10719
38,센터마크호텔,서울 종로구 인사동5길 38-0,호텔,10652
39,마로니에공원,서울 종로구 대학로 104-0,도시공원,10127
40,동묘시장,서울 종로구 종로58길 12-0,시장,9674
41,상명아트센터,서울 종로구 홍지문2길 20-0,공연시설,9216
42,국제갤러리,서울 종로구 삼청로 54-0,전시시설,9014
43,청와대정문,서울 종로구 청와대로 1-0,기타관광,8737
