연령대,남성방문 비율,여성방문 비율
70세 이상,1.7,1.4
60~69세,5.1,4.9
50~59세,8.4,8.8
40~49세,9.8,9.5
30~39세,12.2,12.3
20~29세,8.8,12.3
10~19세,1.8,2.3
