순위,업소명,주소,분류,현지인 검색 수
85,방아다리추어탕,충북 청주시 상당구 사북로 157-0,한식,293
85,부자상황삼계탕청주점,충북 청주시 상당구 효촌송암길 18-34,한식,293
87,스시김,충북 청주시 상당구 영운로 100-1,외국식,286
88,솥밥집,충북 청주시 상당구 중고개로141번길 13-12,한식,282
89,타짜오리하우스,충북 청주시 상당구 명암로 32-0,외국식,281
90,삼영부속구이,충북 청주시 상당구 영운천로 103-3,한식,280
91,우암산호랭이,충북 청주시 상당구 중앙로 5-7,외국식,277
92,오봉집청주용암점,충북 청주시 상당구 중고개로141번길 13-16,한식,276
93,배스킨라빈스청주동남점,충북 청주시 상당구 중고개로 137-0,간이음식,271
94,카츠동남,충북 청주시 상당구 중고개로141번길 13-12,외국식,266
95,마가레뜨,충북 청주시 상당구 사직대로361번길 41-4,카페/찻집,265
95,선비묵집,충북 청주시 상당구 목련로 341-5,한식,265
97,청심재,충북 청주시 상당구 무심동로372번길 44-0,한식,262
98,파리바게뜨청주방서점,충북 청주시 상당구 단재로 312-0,간이음식,259
99,명륜진사갈비청주용암점,충북 청주시 상당구 중흥로 42-0,한식,256
99,표가네명품순두부본점,충북 청주시 상당구 단재로 431-0,한식,256
