연령대,남성방문 비율,여성방문 비율
70세 이상,4.4,4.1
60~69세,12.3,11.1
50~59세,16.9,14.3
40~49세,8.6,6.9
30~39세,5.9,5.4
20~29세,3.4,2.9
10~19세,1.5,1.3
