연령대,남성방문 비율,여성방문 비율
70세 이상,4.2,4.0
60~69세,10.0,11.9
50~59세,11.4,13.8
40~49세,9.1,7.5
30~39세,6.5,6.3
20~29세,4.2,5.3
10~19세,2.1,2.4
