기준연월,지역명,방문자 수
202108,경상북도 울진군 ,819349.0
202110,경상북도 울진군 ,690936.0
202109,경상북도 울진군 ,664758.0
202111,경상북도 울진군 ,586384.0
202112,경상북도 울진군 ,510069.0
202201,경상북도 울진군 ,677779.0
202202,경상북도 울진군 ,525835.0
202203,경상북도 울진군 ,476015.0
202204,경상북도 울진군 ,515157.0
202205,경상북도 울진군 ,625344.0
202206,경상북도 울진군 ,676560.0
202207,경상북도 울진군 ,873583.0
