동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
1411,26920,연인,애인_남자친구_커플,미식,막국수_맛집_바나나
1053,5808,학생,중딩_고딩_대학생,자연경관,바다_공원_전망대
1012,2480,기타가족,엄마_오빠_형제,레포츠/운동,낚시_캠핑_클라이밍
913,1969,친구,친구_절친_지인,휴식/힐링,나들이_피크닉_가을여행
576,1968,회사동료,대리_직원_임원,문화예술,아쿠아리움_노래방_수족관
533,699,배우자,아내_와이프_신랑,반려동물,애견_반려동물_애완견
425,396,자녀,아들_딸_청소년,역사유적,정자_한옥_세계문화유산
321,8,부모님,아버지_할머니_엄빠,체험,공방체험_국궁체험_수학여행
28,0,싱글,싱글_혼자,,
