동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
53128,300036,기타가족,가족_엄마_언니,미식,라면_맛집_맥주
25841,93211,친구,친구_지인_룸메,자연경관,바다_바닷가_시골
20579,31300,부모님,아빠_부모님_아버지,휴식/힐링,신혼여행_피크닉_힐링
6383,30112,연인,애인_커플_연인,문화예술,노래방_공방_워크샵
3452,19644,자녀,아들_자녀_학생,레포츠/운동,수영장_캠핑_서핑
1577,7186,배우자,와이프_신랑_예신,체험,수학여행_전기자전거체험_시티투어
1341,1887,회사동료,대리_직원_동료,역사유적,교회_유네스코_다리
435,505,싱글,혼자_싱글,반려동물,애견_반려동물_유기동물
281,0,학생,고딩_대학생_중학생,,
