연령대,남성방문 비율,여성방문 비율
70세 이상,7.7,5.1
60~69세,15.7,13.2
50~59세,13.9,15.6
40~49세,6.2,5.4
30~39세,5.6,3.4
20~29세,2.3,2.0
10~19세,1.6,1.5
