기준연월,지역명,검색량(건)
202108,서울특별시 송파구 ,1973
202109,서울특별시 송파구 ,2000
202110,서울특별시 송파구 ,2665
202111,서울특별시 송파구 ,3772
202112,서울특별시 송파구 ,857
202201,서울특별시 송파구 ,834
202202,서울특별시 송파구 ,299
202203,서울특별시 송파구 ,253
202204,서울특별시 송파구 ,154
202205,서울특별시 송파구 ,454
202206,서울특별시 송파구 ,866
202207,서울특별시 송파구 ,703
