동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
445,8036,기타가족,가족_동생_형님,미식,식당_차_매점,지리산국립공원(남원)
333,5886,부모님,아빠_아버지_할머니,자연경관,계곡_바다_산,지리산국립공원(남원)
216,4094,자녀,아들_딸_외아들,레포츠/운동,산행_등산_캠핑,지리산국립공원(남원)
43,2141,배우자,남편_아내_와이프,휴식/힐링,힐링_불멍_물멍,지리산국립공원(남원)
35,627,친구,친구_지인_동창,역사유적,사찰_다리_한옥,지리산국립공원(남원)
35,76,회사동료,임원_동료_직원,문화예술,도서관_클럽_전시관,지리산국립공원(남원)
12,38,연인,여자친구_커플_연인,체험,템플스테이_수학여행_생태체험,지리산국립공원(남원)
7,0,싱글,혼자,,,지리산국립공원(남원)
5,0,학생,초등학생_고등학생_중학생,,,지리산국립공원(남원)
