동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
597,7580,자녀,아들_자식_딸,미식,맛집_맥주_술
493,1213,기타가족,장모_장인_고모,문화예술,노래방_클럽_역사박물관
456,1198,연인,애인_여자친구_여친,레포츠/운동,낚시_캠핑_캠핑여행
346,474,회사동료,대리_직장동료_동료,자연경관,시골_평야_폭포
175,130,학생,고딩_중딩_대학생,역사유적,한옥_정자_한옥마을
51,123,부모님,할머니_할아버지_어머님,휴식/힐링,스테이케이션_피크닉_나들이
20,46,친구,친구_지인,반려동물,유기견_동물_애견
19,36,배우자,아내_신랑_와이프,체험,숙박체험_한옥체험_수학여행
10,0,싱글,혼자_싱글,,
