순위,업소명,주소,분류,현지인 검색 수
91,해운대신대구탕,부산 사하구 낙동남로 1393-0,한식,163
92,하가람,부산 사하구 장림로 275-0,한식,162
92,수림식당다대포점,부산 사하구 다송로72번길 50-0,외국식,162
94,설빙다대포해수욕장점,부산 사하구 다대로 706-1,카페/찻집,153
95,행복을짓는수향밥상,부산 사하구 다대로 592-0,한식,152
96,배스킨라빈스부산장림시장점,부산 사하구 장림번영로 40-0,간이음식,151
97,파리바게뜨하단오거리점,부산 사하구 낙동대로 448-0,간이음식,146
98,다대포능이고을,부산 사하구 다대로 686-2,한식,144
99,통뼈감자탕사하점,부산 사하구 장림번영로 65-0,한식,142
100,오늘김해뒷고기본점,부산 사하구 낙동대로519번길 25-0,한식,141
