순위,관광지명,주소,분류,현지인 검색 수
1,무안국제공항,전남 무안군 공항로 970-260,교통시설,4908
2,무안CC,전남 무안군,육상레저스포츠,3564
3,무안회산백련지,전남 무안군 백련로 333-0,자연경관(하천/해양),3359
4,톱머리해변,전남 무안군,자연경관(하천/해양),2473
5,무안클린밸리CC,전남 무안군 태봉길 33-126,육상레저스포츠,1855
6,남악시장,전남 무안군,시장,1733
7,무안황토갯벌랜드,전남 무안군 황토갯벌길 88-0,복합관광시설,1073
8,조금나루해변,전남 무안군,자연경관(하천/해양),1060
9,무안전통시장,전남 무안군 승달로 11-0,시장,1017
10,롯데아울렛남악점,전남 무안군 남악로162번길 80-0,쇼핑몰,963
11,백련펜션리조트,전남 무안군 백련로 527-0,펜션/민박,873
12,무안낙지공원,전남 무안군 조금나루길 128-115,도시공원,763
13,홀통해변,전남 무안군,자연경관(하천/해양),730
14,신월선착장,전남 무안군 신월로 558-26,교통시설,638
15,무안연꽃축제,전남 무안군 백련로 333-0,기타문화관광지,561
16,도리포,전남 무안군 만송로 0-0,자연경관(하천/해양),541
16,못난이미술관,전남 무안군 상사바위길 125-0,전시시설,541
18,홀통유원지,전남 무안군,복합관광시설,473
19,남악아울렛,전남 무안군 대죽동로16번길 15-0,쇼핑몰,465
20,도원선착장,전남 무안군 운해로 0-0,교통시설,439
21,회산백련지오토캠핑장,전남 무안군 백련로 333-0,캠핑,431
22,식영정,전남 무안군,역사유적지,418
23,노을길야영장,전남 무안군 노을길 143-0,캠핑,383
24,오룡시장,전남 무안군 남악3로 15-0,시장,379
25,일로시장,전남 무안군 일로로 94-13,시장,368
26,밀리터리테마파크,전남 무안군 우명길 43-0,기타관광,332
27,참새골황토펜션,전남 무안군 참새골길 58-19,펜션/민박,317
28,남악무인호텔,전남 무안군 남악로 227-37,호텔,313
29,송계어촌체험마을,전남 무안군 만송로 916-0,기타레저스포츠,294
30,도리포유원지,전남 무안군,복합관광시설,292
31,하늘별바다펜션,전남 무안군 해안로 313-56,펜션/민박,275
32,애모시옹풀빌라,전남 무안군 청운로 881-0,펜션/민박,260
33,짝무인텔,전남 무안군 면성1길 111-8,모텔,246
34,조금나루유원지,전남 무안군 조금나루길 297-0,복합관광시설,244
35,남도소리울림터,전남 무안군 남악로 222-0,공연시설,243
36,더케이무인호텔,전남 무안군 공항로 9-0,모텔,234
37,샵모텔,전남 무안군 면성1길 111-5,모텔,233
38,무안롱비치리조트,전남 무안군 청운로 857-27,콘도미니엄,231
39,전통생활문화테마파크,전남 무안군 사옥길 12-0,기타관광,224
40,톱머리리조트,전남 무안군 톱머리길 88-0,콘도미니엄,220
41,일로장,전남 무안군 시장길 11-22,시장,217
41,초의선사탄생지,전남 무안군 초의길 30-0,역사유적지,217
43,톱머리소나무숲펜션,전남 무안군 톱머리길 72-0,펜션/민박,213
44,홀통해수욕장캠핑장,전남 무안군 홀통길 126-0,캠핑,208
45,마블오션펜션,전남 무안군 해안로 745-28,펜션/민박,199
46,오늘호텔,전남 무안군 오룡1길 42-34,모텔,192
47,중앙공원,전남 무안군,도시공원,180
48,회산백련지물놀이장,전남 무안군 회룡길 0-0,테마공원,167
49,김대중광장,전남 무안군,도시공원,165
50,무안톱관광펜션,전남 무안군 톱머리길 118-0,펜션/민박,160
50,월두선착장,전남 무안군 봉월로 472-0,교통시설,160
52,백제모텔,전남 무안군 무안로 469-0,모텔,157
53,무안군오승우미술관,전남 무안군 초의길 7-0,전시시설,156
54,달산저수지,전남 무안군,자연경관(하천/해양),154
55,무안시장,전남 무안군 면성1길 126-0,시장,150
56,무안비치호텔,전남 무안군 톱머리길 36-0,호텔,145
57,모던하우스남악점,전남 무안군 남악로162번길 130-0,기타쇼핑시설,141
58,도리포해수욕장,전남 무안군,자연경관(하천/해양),136
59,국제철물백화점,전남 무안군 무안중앙로 52-0,기타쇼핑시설,123
60,영해공원,전남 무안군,도시공원,122
61,구로리방파제,전남 무안군,자연경관(하천/해양),116
62,원갑사,전남 무안군 산길로 266-27,종교성지,115
62,테마승마장,전남 무안군 영산로 1100-5,육상레저스포츠,115
64,복길선착장,전남 무안군 복길1길 36-0,교통시설,110
65,VIP모텔,전남 무안군 오룡1길 28-0,모텔,109
66,백악관호텔,전남 무안군 무안로 551-0,모텔,105
66,시애틀호텔,전남 무안군 무안로 510-0,모텔,105
68,풀비치펜션,전남 무안군 영해촌길 99-0,펜션/민박,97
69,다이소남악점,전남 무안군 후광대로 330-0,기타쇼핑시설,94
70,유달학생야영장,전남 무안군 수련길 176-0,육상레저스포츠,92
71,해비치나루관광펜션,전남 무안군 복길로 484-0,펜션/민박,90
72,노을바다별장펜션,전남 무안군 가입1길 23-2,펜션/민박,87
73,무안파라다이스펜션,전남 무안군 현해로 1177-6,펜션/민박,83
74,불무공원,전남 무안군 창포로 8-0,도시공원,82
75,톱머리방파제,전남 무안군,자연경관(하천/해양),78
76,킹무인텔,전남 무안군 삼향로 70-0,모텔,77
77,파티나인펜션,전남 무안군 톱머리길 100-0,펜션/민박,73
78,남악중앙시장,전남 무안군 남악로250번길 6-0,시장,70
79,풀하우스펜션,전남 무안군 현해로 1029-0,펜션/민박,69
80,조선비취모텔,전남 무안군 오룡1길 42-30,모텔,65
81,전라남도문화재단,전남 무안군 후광대로 242-0,기타문화관광지,64
82,몸이야목포남악점,전남 무안군 대죽동로 43-0,기타레저스포츠,63
83,무안국제호텔,전남 무안군 운해로 1425-0,호텔,59
83,조금나루선착장,전남 무안군,교통시설,59
85,구로선착장,전남 무안군,교통시설,54
86,스위밍차일드목포남악점,전남 무안군 대죽동로16번길 15-0,테마공원,53
87,미누네펜션,전남 무안군 청운로 484-0,펜션/민박,50
87,바람의바다펜션,전남 무안군 신정길 101-0,펜션/민박,50
89,뉴무인텔,전남 무안군 청운로 70-0,모텔,48
89,목포무안신안축협가축시장,전남 무안군 일로신흥길 51-0,시장,48
89,영산강2경(무안느러지)식영정,전남 무안군 영산강로 2318-16,기타관광,48
92,혜운사,전남 무안군 운해로 304-13,종교성지,45
93,무안컨트리클럽골프텔,전남 무안군 서호로 50-0,콘도미니엄,44
94,복길항,전남 무안군,자연경관(하천/해양),42
95,미륵사,전남 무안군 물맞이길 113-76,종교성지,40
96,감돈저수지,전남 무안군,자연경관(하천/해양),38
97,물바우펜션,전남 무안군 해제지도로 81-10,펜션/민박,36
97,휴관광펜션,전남 무안군 복길로 450-42,펜션/민박,36
97,도산저수지,전남 무안군,자연경관(하천/해양),36
100,법천사,전남 무안군 법천길 529-0,종교성지,35
