연령대,남성방문 비율,여성방문 비율
70세 이상,3.1,4.7
60~69세,6.1,4.1
50~59세,10.6,6.3
40~49세,10.3,9.9
30~39세,11.0,12.1
20~29세,8.1,7.9
10~19세,3.6,1.2
