연령대,남성방문 비율,여성방문 비율
70세 이상,4.4,4.6
60~69세,14.0,10.9
50~59세,13.9,12.0
40~49세,8.4,7.6
30~39세,6.3,5.7
20~29세,3.8,2.9
10~19세,2.5,1.9
