유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 가평군 , 강원도 춘천시,17.3,1
강원도 홍천군 , 강원도 춘천시,12.9,1
경기도 남양주시 , 강원도 춘천시,7.5,1
강원도 화천군 , 강원도 춘천시,3.9,1
강원도 원주시 , 강원도 춘천시,2.9,1
강원도 인제군 , 강원도 춘천시,2.9,1
서울특별시 송파구 , 강원도 춘천시,2.8,1
서울특별시 강남구 , 강원도 춘천시,2.7,1
경기도 하남시 , 강원도 춘천시,2.2,1
경기도 양평군 , 강원도 춘천시,2.0,1
서울특별시 강동구 , 강원도 춘천시,1.9,1
강원도 양구군 , 강원도 춘천시,1.7,1
강원도 양양군 , 강원도 춘천시,1.7,1
강원도 속초시 , 강원도 춘천시,1.7,1
서울특별시 서초구 , 강원도 춘천시,1.5,1
서울특별시 노원구 , 강원도 춘천시,1.2,1
경기도 성남시 분당구 , 강원도 춘천시,1.2,1
경기도 구리시 , 강원도 춘천시,1.1,1
강원도 고성군 , 강원도 춘천시,1.1,1
강원도 횡성군 , 강원도 춘천시,1.0,1
 강원도 춘천시,경기도 가평군,19.2,2
 강원도 춘천시,강원도 홍천군,16.3,2
 강원도 춘천시,강원도 속초시,7.4,2
 강원도 춘천시,경기도 남양주시,6.8,2
 강원도 춘천시,경기도 하남시,4.2,2
 강원도 춘천시,강원도 양양군,3.6,2
 강원도 춘천시,강원도 원주시,3.0,2
 강원도 춘천시,강원도 강릉시,3.0,2
 강원도 춘천시,경기도 양평군,2.9,2
 강원도 춘천시,강원도 화천군,2.8,2
 강원도 춘천시,서울특별시 강남구,2.7,2
 강원도 춘천시,강원도 고성군,2.3,2
 강원도 춘천시,강원도 양구군,2.0,2
 강원도 춘천시,서울특별시 송파구,1.7,2
 강원도 춘천시,강원도 인제군,1.6,2
 강원도 춘천시,경기도 여주시,1.6,2
 강원도 춘천시,서울특별시 강동구,1.2,2
 강원도 춘천시,강원도 횡성군,1.1,2
 강원도 춘천시,경기도 포천시,0.9,2
 강원도 춘천시,경기도 구리시,0.8,2
