연령대,남성방문 비율,여성방문 비율
70세 이상,3.7,3.6
60~69세,11.4,6.4
50~59세,12.8,8.7
40~49세,10.9,6.9
30~39세,7.4,5.8
20~29세,9.0,6.1
10~19세,3.3,2.7
