연령대,남성방문 비율,여성방문 비율
70세 이상,3.7,2.8
60~69세,7.8,6.2
50~59세,15.7,10.0
40~49세,13.9,7.3
30~39세,9.7,6.8
20~29세,7.0,3.8
10~19세,2.0,1.8
