연령대,남성방문 비율,여성방문 비율
70세 이상,2.5,2.2
60~69세,7.6,5.3
50~59세,10.5,8.0
40~49세,10.8,6.5
30~39세,11.0,6.6
20~29세,15.3,5.9
10~19세,3.6,2.9
