시도명,시군구명,평균 체류시간,평균 숙박일수
충청남도,천안시 서북구,183.0,1.8
충청남도,공주시,184.0,1.6
충청남도,보령시,225.0,1.6
충청남도,아산시,206.0,1.8
충청남도,서산시,224.0,1.7
충청남도,논산시,212.0,1.7
충청남도,계룡시,210.0,1.9
충청남도,당진시,232.0,1.7
충청남도,금산군,232.0,1.6
충청남도,부여군,260.0,1.6
충청남도,서천군,243.0,1.6
충청남도,청양군,261.0,1.6
충청남도,홍성군,235.0,1.6
충청남도,예산군,210.0,1.6
충청남도,태안군,313.0,1.4
전라북도,전주시 완산구,187.0,1.8
전라북도,전주시 덕진구,178.0,1.9
전라북도,군산시,192.0,1.8
전라북도,익산시,206.0,1.8
전라북도,정읍시,227.0,1.7
전라북도,남원시,231.0,1.7
전라북도,김제시,211.0,1.7
전라북도,완주군,214.0,1.6
전라북도,진안군,269.0,1.6
전라북도,무주군,275.0,1.5
전라북도,장수군,294.0,1.7
전라북도,임실군,220.0,1.6
전라북도,순창군,245.0,1.7
전라북도,고창군,231.0,1.7
전라북도,부안군,233.0,1.7
전라남도,목포시,184.0,1.8
전라남도,여수시,207.0,1.6
전라남도,순천시,198.0,1.8
전라남도,나주시,210.0,1.7
전라남도,광양시,230.0,1.7
전라남도,담양군,176.0,1.6
전라남도,곡성군,233.0,1.6
전라남도,구례군,211.0,1.5
전라남도,고흥군,268.0,1.7
전라남도,보성군,242.0,1.6
전라남도,화순군,247.0,1.6
전라남도,장흥군,275.0,1.7
전라남도,강진군,226.0,1.7
전라남도,해남군,238.0,1.7
전라남도,영암군,231.0,1.7
전라남도,무안군,217.0,1.7
전라남도,함평군,207.0,1.7
전라남도,영광군,232.0,1.7
전라남도,장성군,211.0,1.6
전라남도,완도군,295.0,1.9
전라남도,진도군,243.0,1.8
전라남도,신안군,269.0,1.8
경상북도,포항시 남구,196.0,1.7
경상북도,포항시 북구,217.0,1.7
경상북도,경주시,209.0,1.6
경상북도,김천시,231.0,1.7
경상북도,안동시,236.0,1.7
경상북도,구미시,210.0,1.9
경상북도,영주시,230.0,1.7
경상북도,영천시,220.0,1.6
경상북도,상주시,254.0,1.7
경상북도,문경시,241.0,1.6
경상북도,경산시,187.0,1.8
