기준연월,평균 체류시간,숙박방문자 비율
202108,363.0,28.8
202109,354.0,28.9
202110,314.0,23.1
202111,341.0,23.9
202112,304.0,23.8
202201,348.0,32.1
202202,367.0,21.9
202203,319.0,22.2
202204,318.0,24.6
202205,314.0,23.4
202206,331.0,27.4
202207,335.0,30.2
