연령,남성 방문자수,여성 방문자수,남성 방문자 비율,여성 방문자 비율
70세 이상,3275061.0,3351030.0,3.2,3.2
60~69세,7520843.0,7322503.0,7.3,7.1
50~59세,9618434.0,9720236.0,9.3,9.4
40~49세,9665853.0,9239278.0,9.3,8.9
30~39세,8592880.0,7894822.0,8.3,7.6
20~29세,7679651.0,8124098.0,7.4,7.9
10~19세,5821098.0,5656196.0,5.6,5.5
