연령대,남성방문 비율,여성방문 비율
70세 이상,4.0,3.5
60~69세,8.3,7.8
50~59세,9.2,9.8
40~49세,10.7,9.0
30~39세,10.1,10.1
20~29세,5.5,4.9
10~19세,2.6,2.5
