순위,관광지명,주소,분류
1,합천영상테마파크,경남 합천군 합천호수로 757-0,휴양관광지
2,해인사,경남 합천군 해인사길 122-0,역사관광지
3,신소양체육공원/핑크뮬리,경남 합천군,기타관광지
4,천불천탑,경남 합천군,기타관광지
5,합천댐물문화관,경남 합천군 합천호수로 197-0,문화시설
6,합천영상테마파크,경남 합천군 합천호수로 757-0,문화관광
7,황매산군립공원,경남 합천군,자연관광지
8,대장경테마파크,경남 합천군 가야산로 1160-0,휴양관광지
9,해인사,경남 합천군 해인사길 122-0,역사관광
10,천불천탑,경남 합천군,기타관광
11,핫들생태공원,경남 합천군,문화관광
12,합천왕후시장,경남 합천군 옥산로 44-0,쇼핑
13,합천호관광농원,경남 합천군 합천호수로 310-0,레포츠(육상/해상/항공)
14,황매산군립공원,경남 합천군,자연관광
15,합천루지,경남 합천군 연촌우곡길 320-33,레포츠(육상/해상/항공)
16,황매산억새군락지,경남 합천군,기타관광지
17,하나로마트/합천농협,경남 합천군 대야로 904-0,쇼핑
18,오도산자연휴양림,경남 합천군 오도산휴양로 398-0,자연관광지
19,합천댐물문화관,경남 합천군 합천호수로 197-0,문화관광
20,합천황매산철쭉제,경남 합천군 황매산로 0-0,문화관광
21,합천황매산철쭉제,경남 합천군 황매산로 0-0,기타관광지
22,황계폭포,경남 합천군,자연관광지
23,해인사성보박물관,경남 합천군 가야산로 1742-17,문화시설
24,국보테마파크/건축중(2021년12월완공예정),경남 합천군,기타관광지
25,대장경테마파크,경남 합천군 가야산로 1160-0,문화관광
26,가야산소리길,경남 합천군,레포츠(육상/해상/항공)
27,합천호관광농원,경남 합천군 합천호수로 310-0,체험관광
28,백리벚꽃길,경남 합천군,기타관광지
29,아델스코트CC,경남 합천군 가조가야로 1916-10,레포츠(육상/해상/항공)
30,고불암,경남 합천군 치인5길 194-0,역사관광지
31,황강군민체육공원/축구장,경남 합천군,기타관광지
32,일해공원,경남 합천군,자연관광지
33,황계폭포,경남 합천군,자연관광
34,합천호,경남 합천군,자연관광지
35,합천정원테마파크,경남 합천군 합천호수로 0-0,기타관광지
36,정양레포츠공원,경남 합천군,자연관광지
37,다이소/경남합천점,경남 합천군 대야로 914-0,쇼핑
38,정양늪생태공원,경남 합천군 대야로 730-0,자연관광지
39,합천공설운동장,경남 합천군 장수로 1-1,기타관광지
40,하나로마트/합천축협본점,경남 합천군 동서로 96-0,쇼핑
41,롯데슈퍼/합천점,경남 합천군 충효로 39-0,쇼핑
42,함벽루,경남 합천군 죽죽길 80-0,역사관광
43,하나로마트/합천호농협본점,경남 합천군 황계폭포로 1148-0,쇼핑
44,해인축산,경남 합천군 삼가1로 103-0,쇼핑
45,함벽루,경남 합천군 죽죽길 80-0,역사관광지
46,모산재,경남 합천군,자연관광지
47,해인사/일주문,경남 합천군 해인사길 122-0,역사관광지
48,정양레포츠공원,경남 합천군,문화관광
49,이마트24/합천대병점,경남 합천군 합천호수로 525-0,쇼핑
50,하나로마트/합천가야농협본점,경남 합천군 가조가야로 2889-1,쇼핑
51,하나로마트/합천호농협대병점,경남 합천군 신성동길 26-0,쇼핑
52,오도산자연휴양림,경남 합천군 오도산휴양로 398-0,자연관광
53,정양늪생태공원,경남 합천군 대야로 730-0,문화관광
54,삼가시장,경남 합천군 일부4길 8-0,쇼핑
55,회양관광지,경남 합천군,기타관광지
56,해인사성보박물관,경남 합천군 가야산로 1742-17,문화관광
57,합천박물관,경남 합천군 황강옥전로 1558-0,문화시설
58,원당암,경남 합천군 해인사길 141-21,역사관광지
59,모산재,경남 합천군,자연관광
60,소리길계곡,경남 합천군,자연관광지
61,합천정원테마파크,경남 합천군 합천호수로 0-0,기타관광
62,백련암,경남 합천군 해인사길 118-116,역사관광지
63,해인사/일주문,경남 합천군 해인사길 122-0,역사관광
64,고불암,경남 합천군 치인5길 194-0,역사관광
65,일해공원,경남 합천군,문화관광
66,핫들생태공원,경남 합천군,자연관광지
67,아델스코트CC,경남 합천군 가조가야로 1916-10,레저스포츠
68,풀마트/초계점,경남 합천군 초계중앙로 118-0,쇼핑
69,전두환대통령생가,경남 합천군 내천2길 14-0,역사관광지
70,또또로또,경남 합천군 동서로 67-1,쇼핑
71,연호사,경남 합천군 죽죽길 80-0,역사관광지
72,합천야구장,경남 합천군,기타관광지
73,합천국보테마파크,경남 합천군 연촌우곡길 320-33,기타관광지
74,용주체육공원/축구장,경남 합천군 둔덕길 250-0,기타관광지
75,역적촬영지/황매산,경남 합천군,기타관광지
76,합천호,경남 합천군,자연관광
77,가야산소리길,경남 합천군,레저스포츠
78,가야산국립공원,경남 합천군,자연관광지
79,황강군민체육공원,경남 합천군,자연관광지
80,신소양체육공원/핑크뮬리,경남 합천군,기타관광
81,롯데슈퍼/합천대양점,경남 합천군 동부로 26-0,쇼핑
82,합천호워터월드,경남 합천군 회양관광단지길 36-1,레포츠(육상/해상/항공)
83,하나로마트/합천새남부농협본점,경남 합천군 삼가중앙길 31-0,쇼핑
84,청량사,경남 합천군 청량동길 144-0,역사관광지
85,법연사,경남 합천군 황매산공원길 62-1,역사관광지
86,가야산소리길탐방지원센터,경남 합천군,기타관광지
87,옥계서원,경남 합천군 서부로 3078-13,역사관광지
88,백련암,경남 합천군 해인사길 118-116,역사관광
89,회양관광지,경남 합천군,문화관광
90,이주홍어린이문학관,경남 합천군 합천호수로 828-7,문화시설
91,전두환대통령생가,경남 합천군 내천2길 14-0,역사관광
92,하나로마트/합천농협봉산지점,경남 합천군 서부로 4308-0,쇼핑
93,삼가체육공원,경남 합천군,자연관광지
94,합천박물관,경남 합천군 황강옥전로 1558-0,문화관광
95,황매산수목원,경남 합천군 황매산공원길 264-21,자연관광지
96,GS25/합천중앙점,경남 합천군 중앙로 21-0,쇼핑
97,태영한우,경남 합천군 일부5길 11-0,쇼핑
98,옐로우리버비치,경남 합천군,기타관광지
99,홍류동계곡,경남 합천군,자연관광지
100,하나로마트/가야농협야로지점,경남 합천군 가야산로 352-0,쇼핑
