기준연월,지역명,검색량(건)
202108,충청남도 당진시 ,1240
202109,충청남도 당진시 ,1213
202110,충청남도 당진시 ,1401
202111,충청남도 당진시 ,1805
202112,충청남도 당진시 ,203
202201,충청남도 당진시 ,372
202202,충청남도 당진시 ,130
202203,충청남도 당진시 ,69
202204,충청남도 당진시 ,83
202205,충청남도 당진시 ,381
202206,충청남도 당진시 ,567
202207,충청남도 당진시 ,439
